time (min),differential refractive index data: differential refractive index  (RIU),raw light scattering data: detector voltage  (V) detector 1,raw light scattering data: detector voltage  (V) detector 2,raw light scattering data: detector voltage  (V) detector 3,raw light scattering data: detector voltage  (V) detector 4,raw light scattering data: detector voltage  (V) detector 5,raw light scattering data: detector voltage  (V) detector 6,raw light scattering data: detector voltage  (V) detector 7,raw light scattering data: detector voltage  (V) detector 8
0.1556058888131957,-4.057825451460606e-007,-0.003429797721242078,-0.003261315231172846,-0.006154104725663301,-4.793297863958657e-006,-0.004816134261642041,-0.006138510832953081,-0.006147721093322067,-0.005020904770357215
0.1637956726584744,-4.058769453165884e-007,-0.003914682723051399,-0.003269515090869368,-0.006183423174616565,-4.89807918213625e-006,-0.00479146381457965,-0.006087465211554566,-0.006165904071976369,-0.005113752122159809
0.1719854565037531,-4.031876439497713e-007,-0.00439956772486072,-0.003277714950565891,-0.006212741623569829,-5.344764346437714e-006,-0.004793057699478354,-0.006081164569338798,-0.006184087050630671,-0.005206599473962292
0.1801752403490318,-4.027128648134391e-007,-0.005672197049560346,-0.00342743693062858,-0.006404336632889696,-5.030111711601393e-006,-0.004794651584377058,-0.006074863927123003,-0.006254407878485635,-0.005817801074172957
0.1883650241943106,-4.029211283641566e-007,-0.005898314637025504,-0.003268072765199859,-0.006315062966058826,-4.91002219871195e-006,-0.004776550569667498,-0.006022410168567721,-0.00630264619016585,-0.005745280865369851
0.1965548080395893,-4.031293919148741e-007,-0.006124432224491105,-0.003251986207279345,-0.006274923811785849,-4.789932685711484e-006,-0.00477636396880507,-0.006023966849290852,-0.006350884501846288,-0.005812392798867472
0.204744591884868,-4.051599703118261e-007,-0.00687117112905522,-0.003235899649358831,-0.006234784657512926,-4.133762108171624e-006,-0.004776177367942613,-0.006025523530013954,-0.006427558070258299,-0.005879504732365204
0.2129343757301467,-4.046072196784538e-007,-0.004889096701767404,-0.002893837352176076,-0.005764082661360692,-2.475556763026354e-006,-0.004572956492334801,-0.005787938475015575,-0.006095259863692304,-0.005650357124776018
0.2211241595754255,-4.037089509326859e-007,-0.002358211604351457,-0.002749975913423075,-0.005293380665208403,-1.948618944203062e-006,-0.004534039423114478,-0.005704245360133364,-0.006014021661885138,-0.004439752697707911
0.2293139434207042,-4.034075805130315e-007,-0.0008243893339594521,-0.00256083217867259,-0.005147427899124035,-2.089970403296171e-006,-0.004552207499450178,-0.005755805047351403,-0.006018273424373444,-0.004226066730564582
0.2375037272659829,-4.037510850820984e-007,-9.123821595169446e-005,-0.002496744292949382,-0.005131150812594187,-2.231321862500302e-006,-0.004570375575785907,-0.005807364734569442,-0.006022525186861971,-0.004445150000327081
0.2456935111112616,-4.040945896511654e-007,0.0006419129020565073,-0.002483452623613991,-0.00511487372606434,-3.16983428227946e-006,-0.004607180268533823,-0.005909702119907129,-0.006098820956157769,-0.004664233270089468
0.2538832949565404,-4.023995673845225e-007,0.001144616259948439,-0.002495559062472452,-0.005199578645600167,-3.152454862154208e-006,-0.004635275547676787,-0.005817099547400534,-0.006218940031861631,-0.005114937442509127
0.2620730788018191,-4.018242084991575e-007,0.001262127212228403,-0.002507665501330858,-0.005284283565135939,-3.176579430053117e-006,-0.004663370826819724,-0.005830019818537952,-0.006180195137286626,-0.004983529332449166
0.2702628626470978,-4.012488496137924e-007,-0.0005230491891703437,-0.00285735174436702,-0.005459877602210173,-3.20070399817407e-006,-0.004708434292978431,-0.005842940089675369,-0.006141450242711843,-0.004938704923693638
